datetime,open,high,low,close,volume
2002-10-21 00:00:00,0.9732,0.97585,0.9719,0.9754,0
2002-10-21 04:00:00,0.97545,0.97635,0.9734,0.9739,0
2002-10-21 08:00:00,0.97385,0.9756,0.9724,0.9737,0
2002-10-21 12:00:00,0.9738,0.97465,0.97315,0.97345,0
2002-10-21 16:00:00,0.97335,0.9742,0.97305,0.9732,0
2002-10-21 20:00:00,0.97325,0.97375,0.97265,0.9736,0
2002-10-22 00:00:00,0.9737,0.976,0.97205,0.9756,0
2002-10-22 04:00:00,0.9756,0.97825,0.9747,0.97725,0
2002-10-22 08:00:00,0.9773,0.9798,0.9769,0.97965,0
2002-10-22 12:00:00,0.9797,0.97995,0.97755,0.97775,0
2002-10-22 16:00:00,0.97775,0.97865,0.9763,0.9769,0
2002-10-22 20:00:00,0.977,0.97775,0.97645,0.9777,0
2002-10-23 00:00:00,0.97765,0.97955,0.97625,0.9788,0
2002-10-23 04:00:00,0.9788,0.9792,0.97655,0.977,0
2002-10-23 08:00:00,0.97705,0.9775,0.97475,0.9769,0
2002-10-23 12:00:00,0.97685,0.97755,0.976,0.97645,0
2002-10-23 16:00:00,0.9765,0.9765,0.97405,0.9752,0
2002-10-23 20:00:00,0.97515,0.97655,0.9749,0.9753,0
2002-10-24 00:00:00,0.97515,0.97555,0.97335,0.97365,0
2002-10-24 04:00:00,0.97365,0.975,0.97275,0.9735,0
2002-10-24 08:00:00,0.97345,0.97535,0.9725,0.97475,0
2002-10-24 12:00:00,0.97485,0.9783,0.9748,0.9779,0
2002-10-24 16:00:00,0.9779,0.97825,0.97695,0.978,0
2002-10-24 20:00:00,0.97795,0.97925,0.9779,0.9792,0
2002-10-25 00:00:00,0.9792,0.97935,0.9773,0.97785,0
2002-10-25 04:00:00,0.9778,0.97785,0.97585,0.977,0
2002-10-25 08:00:00,0.97695,0.97865,0.9758,0.97635,0
2002-10-25 12:00:00,0.97635,0.97775,0.97635,0.97685,0
2002-10-27 16:00:00,0.97635,0.97685,0.9758,0.9764,0
2002-10-27 20:00:00,0.9763,0.9763,0.9741,0.97425,0
2002-10-28 00:00:00,0.9742,0.9746,0.97285,0.97395,0
2002-10-28 04:00:00,0.9739,0.97505,0.97375,0.97495,0
2002-10-28 08:00:00,0.975,0.9847,0.975,0.9834,0
2002-10-28 12:00:00,0.9835,0.98475,0.9831,0.9846,0
2002-10-28 16:00:00,0.9847,0.9848,0.9832,0.98335,0
2002-10-28 20:00:00,0.9833,0.9839,0.98295,0.98375,0
2002-10-29 00:00:00,0.98375,0.9847,0.983,0.9833,0
2002-10-29 04:00:00,0.98335,0.98485,0.98155,0.98245,0
2002-10-29 08:00:00,0.9825,0.98695,0.98095,0.9848,0
2002-10-29 12:00:00,0.98505,0.9858,0.98255,0.98295,0
2002-10-29 16:00:00,0.9833,0.9834,0.9816,0.9818,0
2002-10-29 20:00:00,0.9818,0.9832,0.9818,0.98225,0
2002-10-30 00:00:00,0.9823,0.98405,0.982,0.98335,0
2002-10-30 04:00:00,0.9834,0.9837,0.9821,0.98265,0
2002-10-30 08:00:00,0.98265,0.98395,0.98225,0.9831,0
2002-10-30 12:00:00,0.98305,0.9851,0.98305,0.9837,0
2002-10-30 16:00:00,0.98365,0.9868,0.98355,0.9868,0
2002-10-30 20:00:00,0.98675,0.9879,0.9866,0.9876,0
