symbol,description,path,trade_mode,digits,spread,trade_contract_size,trade_currency,quote_currency,margin_currency,is_visible
Sbean_F6,Soybean -January 26 CFD,Commodities\Softs\Sbean_F6,4,2,0,4.0,USD,USD,USD,False
Corn_H6,Corn -March 26 CFD,Commodities\Softs\Corn_H6,0,2,0,4.0,USD,USD,USD,False
OJ_F6,Orange Juice -January 26 CFD,Commodities\Softs\OJ_F6,4,2,0,20.0,USD,USD,USD,False
Coffee_H6,Coffee C -March 26 CFD,Commodities\Softs\Coffee_H6,4,2,0,10.0,USD,USD,USD,False
BTCUSD,Bitcoin (USD),Crypto\BTCUSD,4,2,1200,1.0,USD,USD,USD,True
BCHUSD,Bitcoin Cash US Dollar,Crypto\BCHUSD,4,2,0,1.0,USD,USD,USD,False
ETHUSD,Ethereum (USD),Crypto\ETHUSD,4,2,0,1.0,USD,USD,USD,False
LTCUSD,Litecoin US Dollar,Crypto\LTCUSD,4,2,0,1.0,USD,USD,USD,False
XRPUSD,Ripple US Dollar,Crypto\XRPUSD,4,4,0,1.0,USD,USD,USD,False
XLMUSD,XLM vs US Dollar,Crypto\XLMUSD,4,5,0,1.0,USD,USD,USD,False
ADAUSD,Cardano (USD),Crypto\ADAUSD,4,5,0,10.0,USD,USD,USD,False
XTZUSD,Tezos (USD),Crypto\XTZUSD,4,5,0,10.0,USD,USD,USD,False
