time,open,high,low,close,tick_volume,spread,real_volume,ticket,entry_time,entry_price,sl_price,symbol,comment
2025-11-05 13:08:00,1.83983,1.8399100000000002,1.83978,1.8397999999999999,51,1,0,1064800255,2025-11-05 13:07:45,1,1.83978,GBPCAD,[sl 1.83978]
2025-11-05 13:09:00,1.83978,1.83978,1.83944,1.8395700000000001,61,1,0,1064800255,2025-11-05 13:07:45,1,1.83978,GBPCAD,[sl 1.83978]
2025-11-05 13:10:00,1.8395700000000001,1.8395700000000001,1.83918,1.8393000000000002,61,1,0,1064800255,2025-11-05 13:07:45,1,1.83978,GBPCAD,[sl 1.83978]
2025-11-05 13:11:00,1.8393000000000002,1.83934,1.83924,1.83926,65,1,0,1064800255,2025-11-05 13:07:45,1,1.83978,GBPCAD,[sl 1.83978]
2025-11-05 13:12:00,1.83926,1.83927,1.839,1.8390499999999999,58,1,0,1064800255,2025-11-05 13:07:45,1,1.83978,GBPCAD,[sl 1.83978]
2025-11-05 13:13:00,1.8390499999999999,1.83928,1.83901,1.83914,78,1,0,1064800255,2025-11-05 13:07:45,1,1.83978,GBPCAD,[sl 1.83978]
2025-11-05 13:14:00,1.83914,1.83917,1.83899,1.83914,57,1,0,1064800255,2025-11-05 13:07:45,1,1.83978,GBPCAD,[sl 1.83978]
2025-11-05 13:15:00,1.83914,1.83944,1.83914,1.8394300000000001,74,1,0,1064800255,2025-11-05 13:07:45,1,1.83978,GBPCAD,[sl 1.83978]
2025-11-05 13:16:00,1.8394300000000001,1.83965,1.8394,1.83955,89,1,0,1064800255,2025-11-05 13:07:45,1,1.83978,GBPCAD,[sl 1.83978]
2025-11-05 13:17:00,1.83955,1.8396599999999999,1.83949,1.8395899999999998,73,1,0,1064800255,2025-11-05 13:07:45,1,1.83978,GBPCAD,[sl 1.83978]
2025-11-05 13:08:00,1.83983,1.8399100000000002,1.83978,1.8397999999999999,51,1,0,1064800256,2025-11-05 13:07:45,1,1.83978,GBPCAD,[sl 1.83978]
2025-11-05 13:09:00,1.83978,1.83978,1.83944,1.8395700000000001,61,1,0,1064800256,2025-11-05 13:07:45,1,1.83978,GBPCAD,[sl 1.83978]
2025-11-05 13:10:00,1.8395700000000001,1.8395700000000001,1.83918,1.8393000000000002,61,1,0,1064800256,2025-11-05 13:07:45,1,1.83978,GBPCAD,[sl 1.83978]
2025-11-05 13:11:00,1.8393000000000002,1.83934,1.83924,1.83926,65,1,0,1064800256,2025-11-05 13:07:45,1,1.83978,GBPCAD,[sl 1.83978]
2025-11-05 13:12:00,1.83926,1.83927,1.839,1.8390499999999999,58,1,0,1064800256,2025-11-05 13:07:45,1,1.83978,GBPCAD,[sl 1.83978]
2025-11-05 13:13:00,1.8390499999999999,1.83928,1.83901,1.83914,78,1,0,1064800256,2025-11-05 13:07:45,1,1.83978,GBPCAD,[sl 1.83978]
2025-11-05 13:14:00,1.83914,1.83917,1.83899,1.83914,57,1,0,1064800256,2025-11-05 13:07:45,1,1.83978,GBPCAD,[sl 1.83978]
2025-11-05 13:15:00,1.83914,1.83944,1.83914,1.8394300000000001,74,1,0,1064800256,2025-11-05 13:07:45,1,1.83978,GBPCAD,[sl 1.83978]
2025-11-05 13:16:00,1.8394300000000001,1.83965,1.8394,1.83955,89,1,0,1064800256,2025-11-05 13:07:45,1,1.83978,GBPCAD,[sl 1.83978]
2025-11-05 13:17:00,1.83955,1.8396599999999999,1.83949,1.8395899999999998,73,1,0,1064800256,2025-11-05 13:07:45,1,1.83978,GBPCAD,[sl 1.83978]
2025-11-05 13:57:00,200.219,200.232,200.165,200.227,101,10,0,1064855621,2025-11-05 13:56:24,1,200.218,GBPJPY,[sl 200.218]
2025-11-05 13:58:00,200.227,200.23,200.196,200.209,73,11,0,1064855621,2025-11-05 13:56:24,1,200.218,GBPJPY,[sl 200.218]
2025-11-05 13:59:00,200.209,200.24,200.209,200.238,118,7,0,1064855621,2025-11-05 13:56:24,1,200.218,GBPJPY,[sl 200.218]
2025-11-05 14:00:00,200.238,200.272,200.225,200.249,142,5,0,1064855621,2025-11-05 13:56:24,1,200.218,GBPJPY,[sl 200.218]
2025-11-05 14:01:00,200.249,200.263,200.239,200.248,116,5,0,1064855621,2025-11-05 13:56:24,1,200.218,GBPJPY,[sl 200.218]
2025-11-05 14:02:00,200.248,200.248,200.213,200.22,151,4,0,1064855621,2025-11-05 13:56:24,1,200.218,GBPJPY,[sl 200.218]
2025-11-05 14:03:00,200.22,200.243,200.217,200.242,94,4,0,1064855621,2025-11-05 13:56:24,1,200.218,GBPJPY,[sl 200.218]
2025-11-05 14:04:00,200.239,200.24,200.219,200.228,84,4,0,1064855621,2025-11-05 13:56:24,1,200.218,GBPJPY,[sl 200.218]
2025-11-05 14:05:00,200.228,200.246,200.227,200.228,66,4,0,1064855621,2025-11-05 13:56:24,1,200.218,GBPJPY,[sl 200.218]
2025-11-05 14:06:00,200.228,200.232,200.199,200.209,138,4,0,1064855621,2025-11-05 13:56:24,1,200.218,GBPJPY,[sl 200.218]
2025-11-05 16:07:00,0.88086,0.88099,0.88086,0.88093,78,0,0,1065053781,2025-11-05 16:06:39,1,0.88094,EURGBP,[sl 0.88094]
2025-11-05 16:08:00,0.88093,0.88106,0.88093,0.88103,48,0,0,1065053781,2025-11-05 16:06:39,1,0.88094,EURGBP,[sl 0.88094]
2025-11-05 16:09:00,0.88103,0.88112,0.88101,0.88107,37,1,0,1065053781,2025-11-05 16:06:39,1,0.88094,EURGBP,[sl 0.88094]
2025-11-05 16:10:00,0.88107,0.88113,0.88107,0.88112,33,0,0,1065053781,2025-11-05 16:06:39,1,0.88094,EURGBP,[sl 0.88094]
2025-11-05 16:11:00,0.88112,0.88117,0.88108,0.88112,61,1,0,1065053781,2025-11-05 16:06:39,1,0.88094,EURGBP,[sl 0.88094]
2025-11-05 16:12:00,0.88112,0.88116,0.88108,0.88116,53,0,0,1065053781,2025-11-05 16:06:39,1,0.88094,EURGBP,[sl 0.88094]
2025-11-05 16:13:00,0.88116,0.88122,0.8811,0.88111,56,0,0,1065053781,2025-11-05 16:06:39,1,0.88094,EURGBP,[sl 0.88094]
2025-11-05 16:14:00,0.88112,0.88124,0.88112,0.88124,47,0,0,1065053781,2025-11-05 16:06:39,1,0.88094,EURGBP,[sl 0.88094]
2025-11-05 16:15:00,0.88123,0.8813,0.88118,0.88128,49,0,0,1065053781,2025-11-05 16:06:39,1,0.88094,EURGBP,[sl 0.88094]
2025-11-05 16:16:00,0.88127,0.88134,0.88126,0.88134,33,0,0,1065053781,2025-11-05 16:06:39,1,0.88094,EURGBP,[sl 0.88094]
2025-11-05 16:08:00,0.88093,0.88106,0.88093,0.88103,48,0,0,1065054234,2025-11-05 16:07:01,1,0.88097,EURGBP,[sl 0.88097]
2025-11-05 16:09:00,0.88103,0.88112,0.88101,0.88107,37,1,0,1065054234,2025-11-05 16:07:01,1,0.88097,EURGBP,[sl 0.88097]
2025-11-05 16:10:00,0.88107,0.88113,0.88107,0.88112,33,0,0,1065054234,2025-11-05 16:07:01,1,0.88097,EURGBP,[sl 0.88097]
